what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1480424393023
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1480424393023
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1480424393023
java.vm.specification.version,sysinfo,,,"1.0",1480424393023
java.vm.vendor,sysinfo,,,"Apple Inc.",1480424393023
java.vm.version,sysinfo,,,"20.65-b04-468",1480424393023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480424415686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480424427671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480424441226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1480424441249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480424445589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480424448360
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480424448462
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1480424448549
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1480424448745
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1480424448746
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1480424448747
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1480424448769
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1480424448770
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1480424448770
stopped,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1480424448771
stopped,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1480424448771
stopped,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1480424448772
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1480424448773
